id;date_ofwork;check_in_time;check_out_time;work_hour
1;2024-10-07;2024-10-07T17:28:56;2024-10-08T02:01:56;14551.12
2;2024-10-07;2024-10-07T08:26:33;2024-10-07T09:51:42;25562.24
3;2024-10-08;2024-10-07T07:03:28;2024-10-07T05:28:46;13729.25
4;2024-10-07;2024-10-07T11:07:20;2024-10-07T08:23:42;31715.65
5;2024-10-07;2024-10-07T20:25:31;2024-10-07T05:02:39;10903.58
6;2024-10-07;2024-10-07T17:32:51;2024-10-08T03:12:31;13171.63
7;2024-10-07;2024-10-07T08:07:57;2024-10-07T15:14:51;31030.97
8;2024-10-07;2024-10-08T01:43:12;2024-10-07T12:59:31;28646.33
9;2024-10-08;2024-10-07T20:59:47;2024-10-07T07:13:56;12610.22
10;2024-10-07;2024-10-07T22:43:48;2024-10-07T09:31:58;8943.08
